COUNTY,PovertyPercentage,CroplandPercentage,cropct2017,SpecialtyCropPercentage,pctsc2017
Limestone,22.2,66.77227648,0.66772276,0.01098522,0.00010985
Live Oak,15.9,28.27080886,0.28270809,0.00334969,0.00003350
Llano,13.8,4.78073851,0.04780739,0.00910233,0.00009102
Lubbock,19.5,84.538712,0.84538712,0.13564799,0.00135648
Sabine,23.2,5.588918918,0.05588919,0.00000000,0.00000000
Schleicher,13.2,2.196282385,0.02196282,0.00509043,0.00005090
Scurry,8.1,53.02063552,0.53020636,0.00003829,0.00000038
Shackelford,18.5,47.3587951,0.47358795,0.00766682,0.00007667
Sherman,13.6,92.96842155,0.92968422,0.01449136,0.00014491
Starr,37.6,31.48353699,0.31483537,0.03845041,0.00038450
Stephens,22,50.6300364,0.50630036,0.01795002,0.00017950
Sterling,15.5,1.586131315,0.01586131,0.00003763,0.00000038
Stonewall,18.9,17.06169284,0.17061693,0.01623718,0.00016237
Swisher,23.4,94.3950361,0.94395036,0.02527027,0.00025270
Medina,14,17.65035207,0.17650352,0.02090888,0.00020909
Midland,7.9,7.006621065,0.07006621,0.00824381,0.00008244
Milam,15.5,51.72917314,0.51729173,0.08192712,0.00081927
Mitchell,10.2,26.22480372,0.26224804,0.00053115,0.00000531
Montague,16.1,65.73925333,0.65739253,0.00392573,0.00003926
Motley,15.5,23.46886628,0.23468866,0.00017553,0.00000176
Newton,16.2,4.755841904,0.04755842,0.00000000,0.00000000
Nolan,17.6,15.83585174,0.15835852,0.00030417,0.00000304
Ochiltree,12.6,87.36623409,0.87366234,0.00000000,0.00000000
Oldham,13.2,37.38351129,0.37383511,0.00002314,0.00000023
Orange,15.2,11.55533149,0.11555331,0.00000000,0.00000000
Palo Pinto,17.9,42.69231234,0.42692312,0.01011967,0.00010120
Panola,14.6,17.41577584,0.17415776,0.00148084,0.00001481
Parmer,16.8,93.55059529,0.93550595,0.00137402,0.00001374
Potter,21.9,48.03942019,0.48039420,0.00015076,0.00000151
Presidio,24.5,4.734701637,0.04734702,0.00187448,0.00001874
Randall,10.5,87.21013048,0.87210130,0.00033904,0.00000339
Real,18.4,0.116690864,0.00116691,0.00099269,0.00000993
Roberts,1.8,62.21842759,0.62218428,0.00000000,0.00000000
Rockwall,6.2,55.51014027,0.55510140,0.00093464,0.00000935
Runnels,17.8,34.8332092,0.34833209,0.00078894,0.00000789
Rusk,16.5,22.05273445,0.22052734,0.00170338,0.00001703
Tarrant,14.4,26.66707945,0.26667079,0.00080874,0.00000809
Taylor,17.5,22.4640458,0.22464046,0.00098278,0.00000983
Terry,13.7,75.55831319,0.75558313,0.39755545,0.00397555
Titus,20.8,40.17988214,0.40179882,0.01183769,0.00011838
Tom Green,13.8,19.96053934,0.19960539,0.00038346,0.00000383
Upshur,13.5,23.21597978,0.23215980,0.00686072,0.00006861
Upton,20.4,3.474267673,0.03474268,0.00610174,0.00006102
Uvalde,20.7,12.80410796,0.12804108,0.03977366,0.00039774
Val Verde,20.9,0.090198054,0.00090198,0.00000000,0.00000000
Walker,24,27.91163909,0.27911639,0.00780390,0.00007804
Wise,12.5,71.35418846,0.71354188,0.00150660,0.00001507
Yoakum,12,46.85610151,0.46856102,0.44329346,0.00443293
Young,15.3,66.20554198,0.66205542,0.00227715,0.00002277
Zapata,34.1,29.3950612,0.29395061,0.00302163,0.00003022
Archer,8.1,74.28655498,0.74286555,0.01682228,0.00016822
Atascosa,15.3,33.53660013,0.33536600,0.01760968,0.00017610
Bailey,19.1,88.53573022,0.88535730,0.02200482,0.00022005
Bandera,16.5,1.409074072,0.01409074,0.00043565,0.00000436
Webb,32.1,10.86604374,0.10866044,0.00915160,0.00009152
Wheeler,17.2,65.17763468,0.65177635,0.01723262,0.00017233
Wichita,18.5,78.99088789,0.78990888,0.04165844,0.00041658
Wilbarger,16.4,63.05516174,0.63055162,0.70198889,0.00701989
Willacy,37.2,48.69193856,0.48691939,0.12441634,0.00124416
Wilson,10.5,45.64747157,0.45647472,0.00575993,0.00005760
Cooke,15,69.25311358,0.69253114,0.01481338,0.00014813
Coryell,14.1,43.50611599,0.43506116,0.02285362,0.00022854
Crosby,20,66.3328387,0.66332839,0.00077075,0.00000771
Culberson,23.8,1.759234989,0.01759235,0.03321805,0.00033218
Dallam,16.2,97.07995543,0.97079955,0.10307529,0.00103075
Dawson,16.3,76.49430156,0.76494302,0.03805689,0.00038057
Deaf Smith,17.2,93.48712644,0.93487126,0.00051020,0.00000510
Denton,8.7,59.28266106,0.59282661,0.00127623,0.00001276
DeWitt,16.2,43.25291492,0.43252915,0.01465552,0.00014656
Bastrop,13.6,27.3194147,0.27319415,0.20906646,0.00209066
Bell,14.7,57.39124044,0.57391240,0.06912552,0.00069126
Blanco,9.7,2.398793544,0.02398794,0.00029224,0.00000292
Borden,2.6,27.11927864,0.27119279,0.00076705,0.00000767
Brewster,11.2,2.299195285,0.02299195,0.00025253,0.00000253
Briscoe,14.5,46.79656877,0.46796569,0.00219695,0.00002197
Brooks,34.7,50.22930516,0.50229305,0.00894829,0.00008948
Brown,17.7,15.34916848,0.15349168,0.06292920,0.00062929
Burnet,14.4,10.43780095,0.10437801,0.00656697,0.00006567
Callahan,18,15.86324476,0.15863245,0.00508940,0.00005089
Collin,7.1,55.46829767,0.55468298,0.00188236,0.00001882
Collingsworth,19.7,38.12916908,0.38129169,0.01542190,0.00015422
Colorado,14,54.57770051,0.54577701,0.04511002,0.00045110
Comanche,21.3,42.98165936,0.42981659,2.17295352,0.02172954
Concho,10.6,17.27733246,0.17277332,0.02056222,0.00020562
Donley,15,36.20870945,0.36208709,0.02700100,0.00027001
Duval,24.5,18.25683579,0.18256836,0.26508994,0.00265090
Eastland,17.6,27.58444658,0.27584447,0.09430127,0.00094301
Edwards,7.7,0.048504436,0.00048504,0.00363906,0.00003639
El Paso,22.5,8.385294611,0.08385295,2.94174674,0.02941747
Erath,24.5,45.03809456,0.45038095,0.21143373,0.00211434
Falls,24.3,81.24792044,0.81247920,0.02083584,0.00020836
Fannin,16.5,70.7715827,0.70771583,0.04832271,0.00048323
Fayette,10.8,46.38029817,0.46380298,0.05227903,0.00052279
Fisher,19.8,42.00778682,0.42007787,0.01525992,0.00015260
Franklin,16.8,43.80845672,0.43808457,0.00424392,0.00004244
Frio,21.3,27.25896761,0.27258968,0.10329671,0.00103297
Gaines,10.7,64.74316028,0.64743160,0.08506585,0.00085066
Garza,13.4,23.08318017,0.23083180,0.00038774,0.00000388
Gillespie,10.8,5.135985025,0.05135985,0.00906631,0.00009066
Gonzales,17.2,34.96099678,0.34960997,0.03212303,0.00032123
Gray,15.7,77.74779132,0.77747791,0.00078522,0.00000785
Grayson,15.6,64.94466889,0.64944669,0.00035488,0.00000355
Robertson,15.1,47.2873856,0.47287386,0.00803121,0.00008031
Washington,14.4,58.05722611,0.58057226,0.00860695,0.00008607
Ellis,11,75.65028678,0.75650287,0.00189857,0.00001899
Cameron,33,33.46307838,0.33463078,0.57342845,0.00573428
Reeves,14.7,7.457284894,0.07457285,0.00629988,0.00006300
Guadalupe,10.5,35.3084433,0.35308443,0.03558461,0.00035585
