NAME,crop0809,crop0910,crop1011,crop1112,crop1213,crop1314,crop1415,crop1516,crop1617
Jones County,-0.002692391,-0.046073586,-0.036190239,0.054214535,-0.003717286,0.007939604,-0.068414755,0.008851406,-0.008848068
Karnes County,-0.015037814,-0.013133762,-0.007951458,0.013404913,0.023463786,-0.000130042,-0.067261593,-0.012309242,0.006378044
Kaufman County,6.41065E-05,0.006688161,-0.007342134,-0.001906416,0.004683218,-0.00881056,-0.029724347,0.012464632,0.009191757
Kendall County,-0.012364998,0.004536576,-0.021356915,0.007434827,0.010890192,0.004260377,-0.080348119,0.000452295,-0.005918617
Kerr County,-0.002627038,-0.001406254,-0.007679637,-0.004999876,0.007198855,0.001229257,-0.022222336,0.0006537,-0.001538061
Kimble County,0.002144646,-0.005687395,-0.001053437,-0.002836199,0.001681667,-0.000649337,-0.007297407,0.000447148,0.001107595
Kinney County,-0.001323151,0.010348985,-0.005052054,0.009998979,-0.002598446,0.004281022,-0.044699491,-0.0040672,-0.004688811
Knox County,0.0372844,-0.054304453,-0.015529311,0.008970857,-0.004598554,-0.003271509,-0.000123484,-0.001601228,0.002238144
Lamb County,-0.003248148,0.014036725,-0.006365865,0.005253443,-0.005690149,0.000903117,-0.005190276,0.006380205,0.000427828
Lampasas County,0.055099602,-0.050599312,-0.019445773,0.030369419,-0.037380742,0.025834084,-0.164736636,0.004706177,0.004164935
La Salle County,-0.010479632,-0.051991654,0.011112647,0.015575148,-0.018876966,0.014500976,-0.053616982,-0.003862973,-0.004155295
Lavaca County,0.019102039,-0.014795432,-0.015765466,0.011097559,-0.011443821,0.005931923,-0.061816827,-0.000384576,0.006238796
Liberty County,-0.00297322,0.014949699,-0.018649608,0.002625237,-0.003894874,0.005884997,-0.029807233,0.00550511,0.002085537
Limestone County,0.005574162,-0.009307276,-0.00460858,0.002483033,0.000106501,0.00184589,-0.038404337,0.011996607,0.000299394
Live Oak County,-0.001313467,-0.003381903,-0.036342574,0.018608197,-0.004264097,0.017379761,-0.066131986,-0.009072841,0.005191382
Llano County,0.025532938,-0.031591924,-0.00911924,0.019499855,0.006741841,0.004010422,-0.172245244,0.00783484,-0.006474168
Lubbock County,-0.002875382,0.023200976,-0.013964104,0.002121911,-0.005819052,-0.005821367,-0.01083525,0.007829466,-0.000426311
Sabine County,0.00222542,0.015293508,-0.020859167,-0.000852686,0.004580399,0.009228291,-0.022159588,0.000348306,0.004140498
Schleicher County,0.007679392,-0.007107514,0.009665721,-0.001838388,-0.002803184,0.00361129,0.00681667,-0.005612996,-0.000527337
Scurry County,0.024773153,-0.080825571,0.060317842,0.015964325,-0.006607195,0.06571433,-0.210457699,0.045319171,0.005509442
Shackelford County,-0.024415393,0.012594453,-0.00888212,-0.018276627,0.017877724,0.020998726,-0.198872651,0.044867194,0.013659078
Sherman County,0.001991904,0.031680756,-0.044268669,0.005450258,0.002197794,0.004250298,-0.015556197,-0.000522065,0.007438398
Starr County,-0.018960577,-0.071218363,-0.000586369,0.044361315,-0.005923625,-0.017409838,-0.046374307,-0.01430836,-0.002948525
